id,key,value,type
469531674,highway,turning_circle,regular
470205768,ref,8B,regular
470205768,exit_to,Orchard Beach; City Island,regular
470205768,highway,motorway_junction,regular
471240718,ref,45,regular
471240718,exit_to,East 138th Street,regular
471240718,highway,motorway_junction,regular
477468841,created_by,ArcGIS Exporter,regular
477469225,created_by,ArcGIS Exporter,regular
477469451,created_by,ArcGIS Exporter,regular
477470510,created_by,ArcGIS Exporter,regular
477470678,created_by,ArcGIS Exporter,regular
477470977,created_by,ArcGIS Exporter,regular
477479437,created_by,ArcGIS Exporter,regular
477482225,created_by,ArcGIS Exporter,regular
477483420,created_by,ArcGIS Exporter,regular
477485317,created_by,ArcGIS Exporter,regular
477485327,created_by,ArcGIS Exporter,regular
477485543,created_by,ArcGIS Exporter,regular
477485917,created_by,ArcGIS Exporter,regular
477485989,created_by,ArcGIS Exporter,regular
477486282,created_by,ArcGIS Exporter,regular
477486440,created_by,ArcGIS Exporter,regular
477488328,created_by,ArcGIS Exporter,regular
477488821,created_by,ArcGIS Exporter,regular
477488838,created_by,ArcGIS Exporter,regular
477489291,created_by,ArcGIS Exporter,regular
477489933,created_by,ArcGIS Exporter,regular
477489937,created_by,ArcGIS Exporter,regular
477490385,created_by,ArcGIS Exporter,regular
477490637,created_by,ArcGIS Exporter,regular
477490886,created_by,ArcGIS Exporter,regular
477490994,created_by,ArcGIS Exporter,regular
477491024,created_by,ArcGIS Exporter,regular
477491074,created_by,ArcGIS Exporter,regular
477492427,created_by,ArcGIS Exporter,regular
477493763,created_by,ArcGIS Exporter,regular
477493786,created_by,ArcGIS Exporter,regular
477494492,created_by,ArcGIS Exporter,regular
477496526,created_by,ArcGIS Exporter,regular
477497264,created_by,ArcGIS Exporter,regular
477497602,created_by,ArcGIS Exporter,regular
477497658,created_by,ArcGIS Exporter,regular
477498208,created_by,ArcGIS Exporter,regular
477499316,created_by,ArcGIS Exporter,regular
477503161,created_by,ArcGIS Exporter,regular
477504359,created_by,ArcGIS Exporter,regular
477505209,created_by,ArcGIS Exporter,regular
477506232,created_by,ArcGIS Exporter,regular
477506574,created_by,ArcGIS Exporter,regular
477506677,created_by,ArcGIS Exporter,regular
477507906,created_by,ArcGIS Exporter,regular
477508460,created_by,ArcGIS Exporter,regular
477508748,created_by,ArcGIS Exporter,regular
477509246,created_by,ArcGIS Exporter,regular
